鄉鎮市區,交易標的,ADDRESS,土地移轉總面積(平方公尺),都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積(平方公尺),建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價(元),單價(元/平方公尺),車位類別,車位移轉總面積(平方公尺),車位總價(元),交易標的橫坐標,交易標的縱坐標,有無備註欄(Y/N),備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
新莊區,房地(土地+建物)+車位,新北市新莊區福德一街１２號四樓,39.19,其他,,,1100508,土地1建物1車位2,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100625,258.17,4,2,3,有,有,29500000,139979,坡道平面,76,4000000,296730,2772108,Y,預售屋、或土地及建物分件登記案件；,RPRVMLNJQHGGFBF68DA,106.46,12.93,0,有
新莊區,房地(土地+建物)+車位,新北市新莊區福德一街１２號三樓,39.19,其他,,,1100510,土地1建物1車位2,三層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100625,256.5,4,2,3,有,有,33270000,157655,坡道平面,74.33,4550000,296730,2772108,Y,含裝潢費；預售屋、或土地及建物分件登記案件；,RPPVMLNJQHGGFBF48DA,106.46,12.93,0,有
新莊區,房地(土地+建物)+車位,新北市新莊區福德一街１２號十一樓,39.19,其他,,,1100207,土地1建物1車位2,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100625,258.17,4,2,3,有,有,30030000,140693,坡道平面,76,4400000,296730,2772108,Y,預售屋、或土地及建物分件登記案件；,RPWVMLNJQHGGFBF56DA,106.46,12.93,0,有
新莊區,房地(土地+建物)+車位,新北市新莊區福德一街１２號十二樓,39.19,其他,,,1100107,土地1建物1車位2,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100625,258.17,4,2,3,有,有,30010000,141681,坡道平面,76,4200000,296730,2772108,Y,預售屋、或土地及建物分件登記案件；,RPXVMLNJQHGGFBF66DA,106.46,12.93,0,有
新莊區,房地(土地+建物)+車位,新北市新莊區福德一街６號五樓,27.06,其他,,,1100306,土地1建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100625,163.7,3,2,2,有,有,19370000,138186,坡道平面,38,2000000,296730,2772108,Y,預售屋、或土地及建物分件登記案件；,RPUWMLNJQHGGFBF09DA,74.16,8.24,0,有
新莊區,房地(土地+建物),新北市新莊區中泰街１０７號三樓,23.49,其他,,,1100611,土地1建物1車位0,三層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,700109,96.91,3,2,2,有,無,9050000,93386,,0,0,295279,2771002,Y,其他增建；,RPUNMLOJQHGGFBF28DA,96.91,0,0,無
五股區,房地(土地+建物),新北市五股區五工六路５６號,756.98,,工業區,丁種建築用地,1100715,土地1建物4車位0,一層，二層，夾層，地下層,四層,華廈(10層含以下有電梯),辦公用,鋼筋混凝土造,810716,2747.8,0,0,0,無,無,240000000,87343,,0,0,295163,2773463,N,,RPQQMLOJQHGGFBF18DA,2419.65,227.31,0,有
林口區,房地(土地+建物)+車位,新北市林口區文化二路一段５７１號十七樓之一,31.5,其他,,,1100519,土地1建物1車位1,十七層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,990430,297.73,3,2,2,有,有,25880000,86924,坡道平面,36.93,0,287866,2774539,N,,RPROMLSLPHGGFBF58DA,162.54,21.64,0,有
新莊區,房地(土地+建物)+車位,新北市新莊區福德一街２號十樓,31.19,其他,,,1100310,土地1建物1車位2,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100625,220.96,3,2,2,有,有,24500000,140039,坡道平面,76,4200000,296730,2772108,Y,預售屋、或土地及建物分件登記案件；,RPWNMLNJQHGGFBF38DA,85.58,9.43,0,有
新莊區,房地(土地+建物)+車位,新北市新莊區福德一街２號六樓,31.19,其他,,,1100110,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100625,182.95,3,2,2,有,有,21820000,136737,坡道平面,38,2000000,296730,2772108,Y,預售屋、或土地及建物分件登記案件；,RPQNMLNJQHGGFBF77DA,85.58,9.43,0,有
新莊區,房地(土地+建物)+車位,新北市新莊區福德一街８號七樓,19.12,其他,,,1100106,土地1建物1車位1,七層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100625,125.13,2,1,1,有,有,14460000,140878,坡道平面,36.33,1950000,296730,2772108,Y,預售屋、或土地及建物分件登記案件；,RPXQMLNJQHGGFBF78DA,53.48,4.74,0,有
新莊區,房地(土地+建物)+車位,新北市新莊區福德一街８號六樓,19.12,其他,,,1100508,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100625,126.8,2,1,1,有,有,14750000,143581,坡道平面,38,2000000,296730,2772108,Y,預售屋、或土地及建物分件登記案件；,RPVQMLNJQHGGFBF58DA,53.48,4.74,0,有
新莊區,房地(土地+建物)+車位,新北市新莊區福德一街８號九樓,19.12,其他,,,1100328,土地1建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100625,125.13,2,1,1,有,有,15100000,145833,坡道平面,36.33,2150000,296730,2772108,Y,預售屋、或土地及建物分件登記案件；,RPRRMLNJQHGGFBF28DA,53.48,4.74,0,有
新莊區,房地(土地+建物)+車位,新北市新莊區福德一街８號四樓,19.12,其他,,,1100527,土地1建物1車位1,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100625,126.8,2,1,1,有,有,14710000,143131,坡道平面,38,2000000,296730,2772108,Y,預售屋、或土地及建物分件登記案件；,RPRQMLNJQHGGFBF18DA,53.48,4.74,0,有
新莊區,房地(土地+建物)+車位,新北市新莊區福德一街１０號十樓,19.6,其他,,,1091227,土地1建物1車位1,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100625,129.13,2,1,1,有,有,15260000,144409,坡道平面,38,2100000,296730,2772108,Y,預售屋、或土地及建物分件登記案件；,RPVSMLNJQHGGFBF78DA,54.97,4.74,0,有
新莊區,房地(土地+建物)+車位,新北市新莊區福德一街１０號十一樓,19.6,其他,,,1100207,土地1建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100625,129.13,2,1,1,有,有,15640000,147482,坡道平面,38,2200000,296730,2772108,Y,預售屋、或土地及建物分件登記案件；,RPWSMLNJQHGGFBF88DA,54.97,4.74,0,有
新莊區,房地(土地+建物)+車位,新北市新莊區福德一街１０號十二樓,19.6,其他,,,1100207,土地1建物1車位1,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100625,129.13,2,1,1,有,有,15860000,150993,坡道平面,38,2100000,296730,2772108,Y,預售屋、或土地及建物分件登記案件；,RPOTMLNJQHGGFBF18DA,54.97,4.74,0,有
新莊區,房地(土地+建物)+車位,新北市新莊區福德一街８號八樓,19.12,其他,,,1100410,土地1建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100625,125.13,2,1,1,有,有,14980000,146734,坡道平面,36.33,1950000,296730,2772108,Y,預售屋、或土地及建物分件登記案件；,RPPRMLNJQHGGFBF08DA,53.48,4.74,0,有
新莊區,房地(土地+建物)+車位,新北市新莊區福德一街１０號四樓,19.6,其他,,,1100123,土地1建物1車位1,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100625,127.45,2,1,1,有,有,14950000,141572,坡道平面,36.33,2050000,296730,2772108,Y,預售屋、或土地及建物分件登記案件；,RPQSMLNJQHGGFBF28DA,54.97,4.74,0,有
新莊區,房地(土地+建物)+車位,新北市新莊區福德一街１０號五樓,19.6,其他,,,1091226,土地1建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100625,129.13,2,1,1,有,有,14900000,140459,坡道平面,38,2100000,296730,2772108,Y,預售屋、或土地及建物分件登記案件；,RPRSMLNJQHGGFBF38DA,54.97,4.74,0,有
新莊區,房地(土地+建物)+車位,新北市新莊區福美街９號四樓,21.76,其他,,,1100312,土地1建物1車位1,四層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091120,223.2,3,2,2,有,有,24550000,120693,坡道平面,38.02,2200000,296453,2771705,N,,RPVOMLTKLHGGFBF58DA,108.39,16.17,0,有
板橋區,房地(土地+建物)+車位,新北市板橋區漢生東路２７６之１號六樓,17.87,其他,,,1100625,土地1建物1車位2,六層,二十九層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,960907,278,4,2,3,有,有,52300000,188129,坡道機械,22.18,0,297312,2767238,N,,RPVUMLSLOHGGFAF76DA,159.62,26.27,0,有
板橋區,房地(土地+建物),新北市板橋區四川路二段９９之１２號五樓,27.2,其他,,,1100529,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,680815,88.5,4,2,2,有,無,8200000,92655,,0,0,295633,2765234,N,,RPRPMLTJPHGGFAF48DA,84.75,3.75,0,無
板橋區,房地(土地+建物),新北市板橋區國慶路１４９巷１弄９號五樓,17.56,其他,,,1100716,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,700409,69.63,3,2,2,有,無,7850000,112739,,0,0,296540,2765488,Y,陽台外推；其他增建；,RPWQMLQKPHGGFAF88DA,55.97,13.66,0,無
土城區,房地(土地+建物)+車位,新北市土城區青雲路３５０之７號十四樓,15.12,其他,,,1091126,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1100603,110.87,2,1,2,有,有,9580000,93636,坡道平面,31.52,2150000,296282,2763030,Y,預售屋、或土地及建物分件登記案件；,RPXPNLPKPHGGFAF88DA,50.45,3.07,0,有
新店區,房地(土地+建物)+車位,新北市新店區安祥路１１０巷３０弄３號九樓,70.32,,山坡地保育區,丙種建築用地,1100605,土地1建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,850106,188.11,4,2,2,有,有,8800000,46781,坡道平面,41.61,0,297846,2761055,Y,陽台外推；,RPQOMLKMPHGGFCF97EA,157.03,19.11,0,有
