"鄉鎮市區","交易標的","ADDRESS","土地移轉總面積.平方公尺.","都市土地使用分區","非都市土地使用分區","非都市土地使用編定","交易年月日","交易筆棟數","移轉層次","總樓層數","建物型態","主要用途","主要建材","建築完成年月","建物移轉總面積.平方公尺.","建物現況格局.房","建物現況格局.廳","建物現況格局.衛","建物現況格局.隔間","有無管理組織","總價.元.","單價.元.平方公尺.","車位類別","車位移轉總面積.平方公尺.","車位總價.元.","交易標的橫坐標","交易標的縱坐標","有無備註欄.Y.N.","備註","編號","主建物面積","附屬建物面積","陽台面積","電梯","AddressNew","Geometry"
"汐止區","房地(土地+建物)+車位","新北市汐止區忠孝東路４８８號四樓之１",16.15,"其他","","",1100712,"土地1建物1車位1","四層","十層","華廈(10層含以下有電梯)","住家用","鋼筋混凝土造",980911,94.85,2,2,1,"有","有",11000000,115973,"坡道機械",0,1000000,317222,2774128,"N","","RPUNMLQJQHGGFDF68DA",58.87,6.44,0,"有","新北市汐止區橋東里忠孝東路488號","POINT (121.6662328967348 25.073640559776809)"
"汐止區","房地(土地+建物)","新北市汐止區水源路二段１１０巷９號",25.28,"其他","","",1100712,"土地1建物1車位0","一層","四層","公寓(5樓含以下無電梯)","商業用","鋼筋混凝土造",690731,73.11,4,1,4,"有","無",7000000,95746,"",0,0,316267,2772040,"Y","陽台外推；","RPVNMLQJQHGGFDF78DA",61.99,11.12,0,"無","新北市汐止區白雲里水源路二段110巷9號","POINT (121.6567630528795 25.05507328625276)"
"泰山區","房地(土地+建物)","新北市泰山區明志路一段１１７巷４弄５號四樓",29.5,"其他","","",1100729,"土地2建物1車位0","四層","四層","公寓(5樓含以下無電梯)","住家用","鋼筋混凝土造",690630,83.01,8,0,8,"有","無",7000000,84327,"",0,0,293766,2772845,"Y","室內格局變更頂樓加蓋；","RPQNMLTJQHGGFBF38DA",73.92,9.09,0,"無","新北市泰山區楓樹里明志路一段117巷4弄5號","POINT (121.43384931542769 25.0631375208508)"
"新莊區","房地(土地+建物)+車位","新北市新莊區福德一街６號六樓",27.06,"其他","","",1100315,"土地1建物1車位1","六層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1100625,163.7,3,2,2,"有","有",19720000,140175,"坡道平面",38,2100000,296730,2772108,"Y","預售屋、或土地及建物分件登記案件；","RPXWMLNJQHGGFBF76DA",74.16,8.24,0,"有","新北市新莊區頭前里福德一街6號","POINT (121.4631764887764 25.05657197573462)"
"新莊區","房地(土地+建物)+車位","新北市新莊區福德一街６號七樓",27.06,"其他","","",1100109,"土地1建物1車位1","七層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1100625,163.7,3,2,2,"有","有",19600000,138425,"坡道平面",38,2200000,296730,2772108,"Y","預售屋、或土地及建物分件登記案件；","RPONNLNJQHGGFBF67DA",74.16,8.24,0,"有","新北市新莊區頭前里福德一街6號","POINT (121.4631764887764 25.05657197573462)"
"新莊區","房地(土地+建物)+車位","新北市新莊區福德一街１２號十樓",39.19,"其他","","",1100112,"土地1建物1車位2","十層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1100625,258.17,4,2,3,"有","有",31800000,150409,"坡道平面",76,4400000,296730,2772108,"Y","本戶為裝潢戶預售屋、或土地及建物分件登記案件；","RPSONLNJQHGGFBF18DA",106.46,12.93,0,"有","新北市新莊區頭前里福德一街12號","POINT (121.46306276321241 25.056328996843639)"
"新莊區","房地(土地+建物)+車位","新北市新莊區福德一街６號十一樓",27.06,"其他","","",1100207,"土地1建物1車位1","十一層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1100625,163.7,3,2,2,"有","有",19930000,141050,"坡道平面",38,2200000,296730,2772108,"Y","預售屋、或土地及建物分件登記案件；","RPVNNLNJQHGGFBF38DA",74.16,8.24,0,"有","新北市新莊區頭前里福德一街6號","POINT (121.4631764887764 25.05657197573462)"
"新莊區","房地(土地+建物)+車位","新北市新莊區福德一街１２號四樓",39.19,"其他","","",1100508,"土地1建物1車位2","四層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1100625,258.17,4,2,3,"有","有",29500000,139979,"坡道平面",76,4000000,296730,2772108,"Y","預售屋、或土地及建物分件登記案件；","RPRVMLNJQHGGFBF68DA",106.46,12.93,0,"有","新北市新莊區頭前里福德一街12號","POINT (121.46306276321241 25.056328996843639)"
"新莊區","房地(土地+建物)+車位","新北市新莊區福德一街１２號三樓",39.19,"其他","","",1100510,"土地1建物1車位2","三層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1100625,256.5,4,2,3,"有","有",33270000,157655,"坡道平面",74.33,4550000,296730,2772108,"Y","含裝潢費；預售屋、或土地及建物分件登記案件；","RPPVMLNJQHGGFBF48DA",106.46,12.93,0,"有","新北市新莊區頭前里福德一街12號","POINT (121.46306276321241 25.056328996843639)"
"新莊區","房地(土地+建物)+車位","新北市新莊區福德一街１２號十一樓",39.19,"其他","","",1100207,"土地1建物1車位2","十一層","十三層","住宅大樓(11層含以上有電梯)","住家用","鋼筋混凝土造",1100625,258.17,4,2,3,"有","有",30030000,140693,"坡道平面",76,4400000,296730,2772108,"Y","預售屋、或土地及建物分件登記案件；","RPWVMLNJQHGGFBF56DA",106.46,12.93,0,"有","新北市新莊區頭前里福德一街12號","POINT (121.46306276321241 25.056328996843639)"
